"pic_name","detect.bcn","detect.cn","detect.n","detect.density","true.bcn","true.cn","true.n","true.density","true.area_mean","surface_tp","BRISONr","Genotype","code","breeder","Year_of_release","Quality_recent","Release_state","Hybrid.status","Group","RYear"
"T32L75_W3_A4_R5_P266_g97_4",10,10,20,24.8138957816377,5,15,20,24.8138957816377,2612.7078890128,"abaxial",97,"Saturn","BRISONr_97","MPI",1973,"C","Deutschland","non-hybrid","SK",1973
"T32L75_W3_A4_R5_P266_g97_8",26,9,35,43.424317617866,27,8,35,43.424317617866,2378.34683569207,"adaxial",97,"Saturn","BRISONr_97","MPI",1973,"C","Deutschland","non-hybrid","SK",1973
"T32L75_W3_A4_R5_P267_g44_3",11,13,24,29.7766749379653,9,15,24,29.7766749379653,2391.21849586893,"abaxial",44,"Forum","BRISONr_44","Nordsaat Saatzucht",2012,"A","DE/EE/PO/SE","non-hybrid","SK",2012
"T32L75_W3_A4_R5_P267_g44_8",23,6,29,35.9801488833747,27,2,29,35.9801488833747,1998.00693134086,"adaxial",44,"Forum","BRISONr_44","Nordsaat Saatzucht",2012,"A","DE/EE/PO/SE","non-hybrid","SK",2012
"T32L75_W3_A4_R5_P269_g80_1",10,9,19,23.5732009925558,8,11,19,23.5732009925558,2550.88987541474,"abaxial",80,"Inspiration","BRISONr_80","Saatzucht Josef Breun GmbH & Co.KG",2007,"B","Deutschland","non-hybrid","SK",2007
"T32L75_W3_A4_R5_P269_g80_6",12,13,25,31.0173697270471,8,18,26,32.258064516129,2507.68979446191,"adaxial",80,"Inspiration","BRISONr_80","Saatzucht Josef Breun GmbH & Co.KG",2007,"B","Deutschland","non-hybrid","SK",2007
"T32L75_W3_A4_R5_P271_g55_4",20,2,22,27.2952853598015,20,2,22,27.2952853598015,1841.99658504735,"abaxial",55,"Pionier","BRISONr_55","Deutsche Saatveredelung",2013,"A","Deutschland","non-hybrid","SK",2013
"T32L75_W3_A4_R5_P271_g55_7",29,3,32,39.7022332506203,25,7,32,39.7022332506203,2250.1168723655,"adaxial",55,"Pionier","BRISONr_55","Deutsche Saatveredelung",2013,"A","Deutschland","non-hybrid","SK",2013
"T32L75_W3_A4_R5_P273_g12_3",11,9,20,24.8138957816377,9,11,20,24.8138957816377,3459.59978176328,"abaxial",12,"Meister","BRISONr_12","RAGT/Mellinger",2010,"A","Deutschland","non-hybrid","SK",2010
"T32L75_W3_A4_R5_P273_g12_6",10,22,32,39.7022332506203,4,28,32,39.7022332506203,3352.42863523615,"adaxial",12,"Meister","BRISONr_12","RAGT/Mellinger",2010,"A","Deutschland","non-hybrid","SK",2010
"T32L75_W3_A4_R5_P274_g50_1",21,0,21,26.0545905707196,18,3,21,26.0545905707196,2399.46289438956,"abaxial",50,"Hermann","BRISONr_50","Limagrain-Nickerson",2004,"C","Deutschland","non-hybrid","SK",2004
"T32L75_W3_A4_R5_P274_g50_6",35,1,36,44.6650124069479,35,1,36,44.6650124069479,2439.34334612942,"adaxial",50,"Hermann","BRISONr_50","Limagrain-Nickerson",2004,"C","Deutschland","non-hybrid","SK",2004
"T32L75_W3_A4_R5_P277_g16_4",12,10,22,27.2952853598015,6,16,22,27.2952853598015,3325.01303578036,"abaxial",16,NA,NA,NA,NA,NA,"Exotics",NA,NA,NA
"T32L75_W3_A4_R5_P277_g16_7",28,9,37,45.9057071960298,17,20,37,45.9057071960298,3055.38466106577,"adaxial",16,NA,NA,NA,NA,NA,"Exotics",NA,NA,NA
"T32L75_W3_A4_R5_P278_g35_4",6,16,22,27.2952853598015,5,17,22,27.2952853598015,3019.58640042567,"abaxial",35,"Cubus","BRISONr_35","Lochow-Petkus",2002,"A","Deutschland","non-hybrid","SK",2002
"T32L75_W3_A4_R5_P278_g35_5",22,13,35,43.424317617866,3,32,35,43.424317617866,3187.36094980782,"adaxial",35,"Cubus","BRISONr_35","Lochow-Petkus",2002,"A","Deutschland","non-hybrid","SK",2002
"T32L75_W3_A4_R5_P280_g29_4",11,12,23,28.5359801488834,15,8,23,28.5359801488834,2272.98561536925,"abaxial",29,"Anapolis","BRISONr_29","NORDSAAT Saatzuchtgesellschaft",2013,"C","Deutschland","non-hybrid","SK",2013
"T32L75_W3_A4_R5_P280_g29_5",26,5,31,38.4615384615385,12,19,31,38.4615384615385,2920.23354625213,"adaxial",29,"Anapolis","BRISONr_29","NORDSAAT Saatzuchtgesellschaft",2013,"C","Deutschland","non-hybrid","SK",2013
"T32L75_W3_A4_R5_P283_g48_4",9,13,22,27.2952853598015,9,13,22,27.2952853598015,2752.66694009178,"abaxial",48,"Gaucho","BRISONr_48","USDA-ARS, Oklahoma AES",1993,NA,"USA","non-hybrid","SK",NA
"T32L75_W3_A4_R5_P283_g48_8",26,5,31,38.4615384615385,19,12,31,38.4615384615385,2561.5826194737,"adaxial",48,"Gaucho","BRISONr_48","USDA-ARS, Oklahoma AES",1993,NA,"USA","non-hybrid","SK",NA
"T32L75_W3_A4_R5_P284_g100_1",11,7,18,22.3325062034739,10,9,19,23.5732009925558,2728.84875780977,"abaxial",100,"Kerubino","BRISONr_100","Saatzucht Schmid Landau",2004,"E","Deutschland","non-hybrid","SK",2004
"T32L75_W3_A4_R5_P284_g100_7",13,9,22,27.2952853598015,12,10,22,27.2952853598015,2407.77940614989,"adaxial",100,"Kerubino","BRISONr_100","Saatzucht Schmid Landau",2004,"E","Deutschland","non-hybrid","SK",2004
"T32L75_W3_A4_R5_P286_g103_2",4,13,17,21.0918114143921,4,13,17,21.0918114143921,3335.50886019247,"abaxial",103,"Orestis","BRISONr_103","Strube, Dr. H.",1988,"B","Deutschland","non-hybrid","SK",1988
"T32L75_W3_A4_R5_P286_g103_7",5,16,21,26.0545905707196,13,8,21,26.0545905707196,2735.96091014377,"adaxial",103,"Orestis","BRISONr_103","Strube, Dr. H.",1988,"B","Deutschland","non-hybrid","SK",1988
"T32L75_W3_A4_R5_P287_g105_1",9,11,20,24.8138957816377,8,12,20,24.8138957816377,2870.09855856048,"abaxial",105,"Anthus","BRISONr_105","KWS Lochow GmbH",2005,"B","Deutschland","non-hybrid","SK",2005
"T32L75_W3_A4_R5_P287_g105_5",29,8,37,45.9057071960298,23,14,37,45.9057071960298,2845.35743558941,"adaxial",105,"Anthus","BRISONr_105","KWS Lochow GmbH",2005,"B","Deutschland","non-hybrid","SK",2005
"T32L75_W3_A4_R5_P290_g67_1",21,0,21,26.0545905707196,12,9,21,26.0545905707196,2722.47393275771,"abaxial",67,"Elixer","BRISONr_67","v. Borris-Eckendorf",2012,"C","Deutschland","non-hybrid","SK",2012
"T32L75_W3_A4_R5_P290_g67_7",29,3,32,39.7022332506203,27,5,32,39.7022332506203,2649.80174089345,"adaxial",67,"Elixer","BRISONr_67","v. Borris-Eckendorf",2012,"C","Deutschland","non-hybrid","SK",2012
"T32L75_W3_A4_R5_P292_g31_1",19,1,20,24.8138957816377,13,7,20,24.8138957816377,3543.14688750944,"abaxial",31,"Biscay","BRISONr_31","Lochow-Petkus",2000,"C","Deutschland","non-hybrid","SK",2000
"T32L75_W3_A4_R5_P292_g31_7",26,0,26,32.258064516129,17,9,26,32.258064516129,3165.41703157354,"adaxial",31,"Biscay","BRISONr_31","Lochow-Petkus",2000,"C","Deutschland","non-hybrid","SK",2000
"T32L75_W3_A4_R5_P295_g90_4",10,9,19,23.5732009925558,15,4,19,23.5732009925558,2141.22077187916,"abaxial",90,"Toronto","BRISONr_90","Strengs Erben",1990,"A","Deutschland","non-hybrid","SK",1990
"T32L75_W3_A4_R5_P295_g90_7",18,9,27,33.4987593052109,18,9,27,33.4987593052109,1846.57834462418,"adaxial",90,"Toronto","BRISONr_90","Strengs Erben",1990,"A","Deutschland","non-hybrid","SK",1990
"T32L75_W3_A4_R5_P296_g26_4",14,8,22,27.2952853598015,8,15,23,28.5359801488834,3205.99181649523,"abaxial",26,"Patras","BRISONr_26","DSV",2012,"A","Deutschland","non-hybrid","SK",2012
"T32L75_W3_A4_R5_P296_g26_5",19,6,25,31.0173697270471,13,12,25,31.0173697270471,2873.76858982541,"adaxial",26,"Patras","BRISONr_26","DSV",2012,"A","Deutschland","non-hybrid","SK",2012
"T32L75_W3_A4_R5_P299_g66_4",17,1,18,22.3325062034739,7,11,18,22.3325062034739,2549.43795115333,"abaxial",66,"Global","BRISONr_66","RAGT/Mellinger",2009,"B","DE/AT","non-hybrid","SK",2009
"T32L75_W3_A4_R5_P299_g66_8",25,1,26,32.258064516129,24,2,26,32.258064516129,1968.19377867828,"adaxial",66,"Global","BRISONr_66","RAGT/Mellinger",2009,"B","DE/AT","non-hybrid","SK",2009
"T32L75_W3_A4_R5_P303_g61_2",24,0,24,29.7766749379653,20,4,24,29.7766749379653,2861.86052984227,"abaxial",61,"Intro","BRISONr_61","RAGT 2N",2011,"B","Deutschland/Frankreich","non-hybrid","SK",2011
"T32L75_W3_A4_R5_P303_g61_6",37,0,37,45.9057071960298,26,12,38,47.1464019851117,3091.97024086762,"adaxial",61,"Intro","BRISONr_61","RAGT 2N",2011,"B","Deutschland/Frankreich","non-hybrid","SK",2011
"T32L75_W3_A4_R5_P305_g60_3",17,3,20,24.8138957816377,15,5,20,24.8138957816377,2523.68587321992,"abaxial",60,"Kalahari","BRISONr_60","LIMAGRAIN GmbH",2010,"B","DE/BE","non-hybrid","SK",2010
"T32L75_W3_A4_R5_P305_g60_7",27,3,30,37.2208436724566,25,5,30,37.2208436724566,2614.26909315829,"adaxial",60,"Kalahari","BRISONr_60","LIMAGRAIN GmbH",2010,"B","DE/BE","non-hybrid","SK",2010
"T32L75_W3_A4_R5_P306_g88_4",21,3,24,29.7766749379653,14,11,25,31.0173697270471,2016.31141304141,"abaxial",88,"Impression","BRISONr_88","Saatzucht Schweiger GbR",2005,"A","Deutschland","non-hybrid","SK",2005
"T32L75_W3_A4_R5_P306_g88_8",23,8,31,38.4615384615385,29,4,33,40.9429280397022,2259.20679626293,"adaxial",88,"Impression","BRISONr_88","Saatzucht Schweiger GbR",2005,"A","Deutschland","non-hybrid","SK",2005
"T32L75_W3_A4_R5_P308_g54_2",20,2,22,27.2952853598015,19,3,22,27.2952853598015,2510.65220358931,"abaxial",54,"Tobak","BRISONr_54","W.v.Borries-Eckendorf",2011,"B","Deutschland","non-hybrid","SK",2011
"T32L75_W3_A4_R5_P308_g54_6",24,7,31,38.4615384615385,22,9,31,38.4615384615385,2495.98657698545,"adaxial",54,"Tobak","BRISONr_54","W.v.Borries-Eckendorf",2011,"B","Deutschland","non-hybrid","SK",2011
"T32L75_W3_A4_R5_P311_g83_1",27,1,28,34.7394540942928,17,11,28,34.7394540942928,2153.4867061276,"abaxial",83,"Edgar","BRISONr_83","LIMAGRAIN GmbH",2010,"B","Deutschland","non-hybrid","SK",2010
"T32L75_W3_A4_R5_P311_g83_7",33,0,33,40.9429280397022,34,0,34,42.1836228287841,2275.90150450376,"adaxial",83,"Edgar","BRISONr_83","LIMAGRAIN GmbH",2010,"B","Deutschland","non-hybrid","SK",2010
"T32L75_W3_A4_R5_P314_g49_1",21,1,22,27.2952853598015,12,10,22,27.2952853598015,2728.46802566036,"abaxial",49,"Tarso","BRISONr_49","Saatzucht Hadmersleben",1992,"A","Deutschland","non-hybrid","SK",1992
"T32L75_W3_A4_R5_P314_g49_7",30,2,32,39.7022332506203,27,5,32,39.7022332506203,2517.5961023541,"adaxial",49,"Tarso","BRISONr_49","Saatzucht Hadmersleben",1992,"A","Deutschland","non-hybrid","SK",1992
"T32L75_W3_A4_R5_P316_g87_1",19,0,19,23.5732009925558,17,2,19,23.5732009925558,2649.68421052632,"abaxial",87,"Sponsor","BRISONr_87","Unisigma",1994,NA,"FR, IE","non-hybrid","SK",NA
"T32L75_W3_A4_R5_P316_g87_5",29,4,33,40.9429280397022,26,8,34,42.1836228287841,2519.14681764536,"adaxial",87,"Sponsor","BRISONr_87","Unisigma",1994,NA,"FR, IE","non-hybrid","SK",NA
"T32L75_W3_A4_R5_P317_g18_3",14,4,18,22.3325062034739,8,10,18,22.3325062034739,3219.72498596284,"abaxial",18,"Paroli","BRISONr_18","DSV",2004,"A","Deutschland","non-hybrid","SK",2004
"T32L75_W3_A4_R5_P317_g18_6",25,3,28,34.7394540942928,13,16,29,35.9801488833747,3343.79520406692,"adaxial",18,"Paroli","BRISONr_18","DSV",2004,"A","Deutschland","non-hybrid","SK",2004
"T32L75_W3_A4_R5_P319_g47_4",17,8,25,31.0173697270471,15,10,25,31.0173697270471,2981.11227376147,"abaxial",47,"Potenzial","BRISONr_47","DSV",2006,"A","Deutschland","non-hybrid","SK",2006
"T32L75_W3_A4_R5_P319_g47_6",28,3,31,38.4615384615385,29,2,31,38.4615384615385,2669.73913850317,"adaxial",47,"Potenzial","BRISONr_47","DSV",2006,"A","Deutschland","non-hybrid","SK",2006
"T32L75_W3_A4_R5_P320_g13_4",18,0,18,22.3325062034739,13,6,19,23.5732009925558,3209.61498934299,"abaxial",13,"KWS Santiago","BRISONr_13","KWS Lochow",2011,"C","England","non-hybrid","SK",2011
"T32L75_W3_A4_R5_P320_g13_6",19,0,19,23.5732009925558,19,0,19,23.5732009925558,2563.92631077196,"adaxial",13,"KWS Santiago","BRISONr_13","KWS Lochow",2011,"C","England","non-hybrid","SK",2011
"T32L75_W3_A4_R5_P321_g92_1",19,4,23,28.5359801488834,14,9,23,28.5359801488834,2925.13115001085,"abaxial",92,"Contra","BRISONr_92","Saatzucht Breun",1990,"C","Deutschland","non-hybrid","SK",1990
"T32L75_W3_A4_R5_P321_g92_6",17,9,26,32.258064516129,19,8,27,33.4987593052109,3076.52745908729,"adaxial",92,"Contra","BRISONr_92","Saatzucht Breun",1990,"C","Deutschland","non-hybrid","SK",1990
"T32L75_W3_A4_R5_P322_g99_2",9,5,14,17.3697270471464,6,8,14,17.3697270471464,2946.76601879646,"abaxial",99,"JB Asano","BRISONr_99","Saatzucht Josef Breun GmbH & Co.KG",2008,"A","Deutschland","non-hybrid","SK",2008
"T32L75_W3_A4_R5_P322_g99_6",19,6,25,31.0173697270471,18,7,25,31.0173697270471,2853.3472671952,"adaxial",99,"JB Asano","BRISONr_99","Saatzucht Josef Breun GmbH & Co.KG",2008,"A","Deutschland","non-hybrid","SK",2008
"T32L75_W3_A4_R6_P327_g118_1",13,4,17,21.0918114143921,12,5,17,21.0918114143921,3046.97892322334,"abaxial",118,"Drifter","BRISONr_118","Nickerson",1999,"B","Deutschland","non-hybrid","SK",1999
"T32L75_W3_A4_R6_P327_g118_6",21,0,21,26.0545905707196,21,0,21,26.0545905707196,3278.41839069577,"adaxial",118,"Drifter","BRISONr_118","Nickerson",1999,"B","Deutschland","non-hybrid","SK",1999
"T32L75_W3_A4_R6_P328_g161_4",19,10,29,35.9801488833747,18,12,30,37.2208436724566,2350.55175820928,"abaxial",161,"Benno","BRISONr_161","Bauer, G.",1973,"E","Deutschland","non-hybrid","SL",1973
"T32L75_W3_A4_R6_P328_g161_8",14,13,27,33.4987593052109,18,9,27,33.4987593052109,2357.29568846999,"adaxial",161,"Benno","BRISONr_161","Bauer, G.",1973,"E","Deutschland","non-hybrid","SL",1973
"T32L75_W3_A4_R6_P330_g119_2",11,10,21,26.0545905707196,11,10,21,26.0545905707196,3014.57802469554,"abaxial",119,"Joss","BRISONr_119","Breustedt",1972,"C","Deutschland","non-hybrid","SK",1972
"T32L75_W3_A4_R6_P330_g119_8",23,14,37,45.9057071960298,28,9,37,45.9057071960298,2146.63283218024,"adaxial",119,"Joss","BRISONr_119","Breustedt",1972,"C","Deutschland","non-hybrid","SK",1972
"T32L75_W3_A4_R6_P331_g108_4",27,0,27,33.4987593052109,27,0,27,33.4987593052109,2855.37541381084,"abaxial",108,"Herzog","BRISONr_108","Saatzucht Breun",1986,"A","Deutschland","non-hybrid","SK",1986
"T32L75_W3_A4_R6_P331_g108_5",35,3,38,47.1464019851117,34,4,38,47.1464019851117,2563.46937943836,"adaxial",108,"Herzog","BRISONr_108","Saatzucht Breun",1986,"A","Deutschland","non-hybrid","SK",1986
"T32L75_W3_A4_R6_P332_g178_4",23,5,28,34.7394540942928,15,13,28,34.7394540942928,2497.7729292528,"abaxial",178,"Cordiale","BRISONr_178","KWS UK Limited",2003,NA,"England","non-hybrid","FK",NA
"T32L75_W3_A4_R6_P332_g178_6",24,6,30,37.2208436724566,28,3,31,38.4615384615385,2743.14475190338,"adaxial",178,"Cordiale","BRISONr_178","KWS UK Limited",2003,NA,"England","non-hybrid","FK",NA
"T32L75_W3_A4_R6_P333_g201_1",17,2,19,23.5732009925558,14,5,19,23.5732009925558,2622.15335598156,"abaxial",201,"Nimbus","BRISONr_201","Firlbeck",1975,"B","Deutschland","non-hybrid","FK",1975
"T32L75_W3_A4_R6_P333_g201_7",28,4,32,39.7022332506203,21,11,32,39.7022332506203,2729.0968725872,"adaxial",201,"Nimbus","BRISONr_201","Firlbeck",1975,"B","Deutschland","non-hybrid","FK",1975
"T32L75_W3_A4_R6_P334_g221_3",24,0,24,29.7766749379653,23,2,25,31.0173697270471,2404.46856951456,"abaxial",221,"Julius","BRISONr_221","KWS Lochow",2008,"A","Deutschland","non-hybrid",NA,2008
"T32L75_W3_A4_R6_P334_g221_6",21,6,27,33.4987593052109,16,11,27,33.4987593052109,2189.1580718096,"adaxial",221,"Julius","BRISONr_221","KWS Lochow",2008,"A","Deutschland","non-hybrid",NA,2008
"T32L75_W3_A4_R6_P335_g212_3",20,3,23,28.5359801488834,15,8,23,28.5359801488834,2802.82189393711,"abaxial",212,NA,NA,NA,NA,NA,"Exotics",NA,NA,NA
"T32L75_W3_A4_R6_P335_g212_6",31,1,32,39.7022332506203,23,9,32,39.7022332506203,2669.25865089035,"adaxial",212,NA,NA,NA,NA,NA,"Exotics",NA,NA,NA
"T32L75_W3_A4_R6_P348_g109_4",21,0,21,26.0545905707196,9,12,21,26.0545905707196,3348.59671331345,"abaxial",109,"Sorbas","BRISONr_109","Strube, Dr. H.",1985,"B","Deutschland","non-hybrid","SK",1985
"T32L75_W3_A4_R6_P348_g109_8",28,1,29,35.9801488833747,27,3,30,37.2208436724566,3026.42394271349,"adaxial",109,"Sorbas","BRISONr_109","Strube, Dr. H.",1985,"B","Deutschland","non-hybrid","SK",1985
"T32L75_W3_A4_R6_P351_g229_3",20,1,21,26.0545905707196,7,14,21,26.0545905707196,3136.24237441684,"abaxial",229,"Astory","BRISONr_229",NA,2018,NA,NA,NA,NA,2018
"T32L75_W3_A4_R6_P351_g229_7",24,6,30,37.2208436724566,24,6,30,37.2208436724566,2664.93906478661,"adaxial",229,"Astory","BRISONr_229",NA,2018,NA,NA,NA,NA,2018
"T32L75_W3_A4_R6_P352_g194_2",12,2,14,17.3697270471464,10,5,15,18.6104218362283,2745.59178885045,"abaxial",194,NA,NA,NA,NA,NA,"Exotics",NA,NA,NA
"T32L75_W3_A4_R6_P352_g194_5",29,1,30,37.2208436724566,19,12,31,38.4615384615385,2374.81398846477,"adaxial",194,NA,NA,NA,NA,NA,"Exotics",NA,NA,NA
"T32L75_W3_A4_R6_P353_g213_4",10,12,22,27.2952853598015,7,16,23,28.5359801488834,2585.05396231228,"abaxial",213,"Pegassos","BRISONr_213","Strube Saatzucht",1994,"A","AT, CH, DE, LT, PL, SI, SK","non-hybrid","FK",1994
"T32L75_W3_A4_R6_P353_g213_7",15,15,30,37.2208436724566,15,15,30,37.2208436724566,2326.04973308693,"adaxial",213,"Pegassos","BRISONr_213","Strube Saatzucht",1994,"A","AT, CH, DE, LT, PL, SI, SK","non-hybrid","FK",1994
"T32L75_W3_A4_R6_P355_g225_4",15,4,19,23.5732009925558,9,10,19,23.5732009925558,2729.09380320657,"abaxial",225,"Nordkap","BRISONr_225","Nordsaat",2016,"A","Deutschland","non-hybrid",NA,2016
"T32L75_W3_A4_R6_P355_g225_8",22,1,23,28.5359801488834,19,4,23,28.5359801488834,2585.9426675081,"adaxial",225,"Nordkap","BRISONr_225","Nordsaat",2016,"A","Deutschland","non-hybrid",NA,2016
"T32L75_W3_A4_R6_P356_g173_3",22,0,22,27.2952853598015,16,6,22,27.2952853598015,2820.13081424465,"abaxial",173,NA,NA,NA,NA,NA,"Exotics",NA,NA,NA
"T32L75_W3_A4_R6_P356_g173_8",35,1,36,44.6650124069479,28,8,36,44.6650124069479,2472.71479796636,"adaxial",173,NA,NA,NA,NA,NA,"Exotics",NA,NA,NA
"T32L75_W3_A4_R6_P359_g126_3",20,2,22,27.2952853598015,16,6,22,27.2952853598015,2891.28894596058,"abaxial",126,"Disponent","BRISONr_126","Bayrische Saatzuchtgesellschaft",1975,"A","Deutschland","non-hybrid","SL",1975
"T32L75_W3_A4_R6_P359_g126_6",28,0,28,34.7394540942928,23,5,28,34.7394540942928,2564.66528445811,"adaxial",126,"Disponent","BRISONr_126","Bayrische Saatzuchtgesellschaft",1975,"A","Deutschland","non-hybrid","SL",1975
"T32L75_W3_A4_R6_P360_g150_2",11,8,19,23.5732009925558,9,10,19,23.5732009925558,2893.32283418215,"abaxial",150,"Diplomat","BRISONr_150","Firlbeck",1966,"A","Deutschland","non-hybrid","SL",1966
"T32L75_W3_A4_R6_P360_g150_7",17,7,24,29.7766749379653,12,12,24,29.7766749379653,2973.37821044693,"adaxial",150,"Diplomat","BRISONr_150","Firlbeck",1966,"A","Deutschland","non-hybrid","SL",1966
"T32L75_W3_A4_R6_P361_g190_2",23,3,26,32.258064516129,17,9,26,32.258064516129,2641.21731435249,"abaxial",190,NA,NA,NA,NA,NA,"Exotics",NA,NA,NA
"T32L75_W3_A4_R6_P361_g190_5",28,2,30,37.2208436724566,21,9,30,37.2208436724566,2854.93963826208,"adaxial",190,NA,NA,NA,NA,NA,"Exotics",NA,NA,NA
"T32L75_W3_A4_R6_P362_g136_1",11,4,15,18.6104218362283,5,10,15,18.6104218362283,3363.33814423787,"abaxial",136,"Akratos","BRISONr_136","Strube Saatzucht",2004,"A","Deutschland","non-hybrid","SL",2004
"T32L75_W3_A4_R6_P362_g136_7",16,6,22,27.2952853598015,15,7,22,27.2952853598015,2905.46675111731,"adaxial",136,"Akratos","BRISONr_136","Strube Saatzucht",2004,"A","Deutschland","non-hybrid","SL",2004
"T32L75_W3_A4_R6_P365_g166_4",12,16,28,34.7394540942928,17,11,28,34.7394540942928,2171.17768435989,"abaxial",166,"Caribo","BRISONr_166","Heidenreich und Eger",1968,"B","Deutschland","non-hybrid","SL",1968
"T32L75_W3_A4_R6_P365_g166_8",23,6,29,35.9801488833747,21,8,29,35.9801488833747,2310.62614343498,"adaxial",166,"Caribo","BRISONr_166","Heidenreich und Eger",1968,"B","Deutschland","non-hybrid","SL",1968
"T32L75_W3_A4_R6_P368_g199_4",9,8,17,21.0918114143921,8,9,17,21.0918114143921,2928.02823529412,"abaxial",199,NA,NA,NA,NA,NA,"Exotics",NA,NA,NA
"T32L75_W3_A4_R6_P368_g199_8",17,7,24,29.7766749379653,11,13,24,29.7766749379653,2533.09007269547,"adaxial",199,NA,NA,NA,NA,NA,"Exotics",NA,NA,NA
"T32L75_W3_A4_R6_P372_g180_2",18,0,18,22.3325062034739,16,2,18,22.3325062034739,3296.99036971582,"abaxial",180,"Premio","BRISONr_180","RAGT",2006,"B","Frankreich","non-hybrid","FK",2006
"T32L75_W3_A4_R6_P372_g180_5",27,1,28,34.7394540942928,20,8,28,34.7394540942928,3200.43108985737,"adaxial",180,"Premio","BRISONr_180","RAGT",2006,"B","Frankreich","non-hybrid","FK",2006
"T32L75_W3_A4_R6_P373_g203_3",10,6,16,19.8511166253102,8,9,17,21.0918114143921,3057.25650356395,"abaxial",203,NA,NA,NA,NA,NA,"Exotics",NA,NA,NA
"T32L75_W3_A4_R6_P373_g203_6",22,6,28,34.7394540942928,22,6,28,34.7394540942928,2491,"adaxial",203,NA,NA,NA,NA,NA,"Exotics",NA,NA,NA
"T32L75_W3_A4_R6_P375_g171_2",13,3,16,19.8511166253102,4,12,16,19.8511166253102,3222.9677115733,"abaxial",171,NA,NA,NA,NA,NA,"Exotics",NA,NA,NA
"T32L75_W3_A4_R6_P375_g171_5",26,3,29,35.9801488833747,27,2,29,35.9801488833747,2675.01047054566,"adaxial",171,NA,NA,NA,NA,NA,"Exotics",NA,NA,NA
"T32L75_W3_A4_R6_P376_g222_4",17,1,18,22.3325062034739,13,5,18,22.3325062034739,2913.22632651529,"abaxial",222,"RGT Reform","BRISONr_222","RAGT",2014,"A","Deutschland","non-hybrid",NA,2014
"T32L75_W3_A4_R6_P376_g222_7",24,2,26,32.258064516129,23,4,27,33.4987593052109,2995.01488143366,"adaxial",222,"RGT Reform","BRISONr_222","RAGT",2014,"A","Deutschland","non-hybrid",NA,2014
"T32L75_W3_A4_R6_P377_g209_3",11,7,18,22.3325062034739,4,14,18,22.3325062034739,3579.48308584178,"abaxial",209,NA,NA,NA,NA,NA,"Exotics",NA,NA,NA
"T32L75_W3_A4_R6_P377_g209_8",10,12,22,27.2952853598015,13,9,22,27.2952853598015,3549.07502611273,"adaxial",209,NA,NA,NA,NA,NA,"Exotics",NA,NA,NA
"T32L75_W3_A4_R6_P378_g176_3",17,0,17,21.0918114143921,17,0,17,21.0918114143921,2450.10419172593,"abaxial",176,NA,NA,NA,NA,NA,"Exotics",NA,NA,NA
"T32L75_W3_A4_R6_P378_g176_7",15,11,26,32.258064516129,12,14,26,32.258064516129,2449.32879260585,"adaxial",176,NA,NA,NA,NA,NA,"Exotics",NA,NA,NA
"T32L75_W3_A4_R6_P379_g193_4",11,7,18,22.3325062034739,7,11,18,22.3325062034739,2824.10509331769,"abaxial",193,"Camp Remy","BRISONr_193","Unisigma",1980,"B","Deutschland","non-hybrid","FK",1980
"T32L75_W3_A4_R6_P379_g193_8",22,6,28,34.7394540942928,27,1,28,34.7394540942928,2895.16244278143,"adaxial",193,"Camp Remy","BRISONr_193","Unisigma",1980,"B","Deutschland","non-hybrid","FK",1980
"T32L75_W3_A4_R6_P382_g130_1",27,0,27,33.4987593052109,16,11,27,33.4987593052109,2520.15570145102,"abaxial",130,"Carisuper","BRISONr_130","Heidenreich und Eger",1975,"A","Deutschland","non-hybrid","SL",1975
"T32L75_W3_A4_R6_P382_g130_5",27,1,28,34.7394540942928,24,6,30,37.2208436724566,2369.16930520587,"adaxial",130,"Carisuper","BRISONr_130","Heidenreich und Eger",1975,"A","Deutschland","non-hybrid","SL",1975
"T32L75_W3_A4_R6_P383_g134_4",2,16,18,22.3325062034739,1,17,18,22.3325062034739,3263.42957056649,"abaxial",134,"Alidos","BRISONr_134","Saatzucht Hadmersleben",1987,"E","Deutschland","non-hybrid","SL",1987
"T32L75_W3_A4_R6_P383_g134_7",12,13,25,31.0173697270471,19,6,25,31.0173697270471,2743.9168,"adaxial",134,"Alidos","BRISONr_134","Saatzucht Hadmersleben",1987,"E","Deutschland","non-hybrid","SL",1987
"T32L75_W3_A4_R6_P384_g111_3",3,11,14,17.3697270471464,5,9,14,17.3697270471464,3737.72113091691,"abaxial",111,"Terrier","BRISONr_111","Nickerson",2001,"B","Deutschland","non-hybrid","SK",2001
"T32L75_W3_A4_R6_P384_g111_7",15,4,19,23.5732009925558,15,5,20,24.8138957816377,2967.04180935464,"adaxial",111,"Terrier","BRISONr_111","Nickerson",2001,"B","Deutschland","non-hybrid","SK",2001
